At frame 0, person 1 is located at coordinates [-21.95, 662.12] with a bounding box of width 112.44 and height 309.52.
 At frame 339, person 40 is located at coordinates [360.31, 683.01] with a bounding box of width 53.53 and height 146.26.
 At frame 339, person 41 is located at coordinates [679.44, 702.95] with a bounding box of width 13.30 and height 29.88.
 At frame 339, person 42 is located at coordinates [8.65, 657.07] with a bounding box of width 55.52 and height 131.12.
 At frame 339, person 44 is located at coordinates [709.16, 707.66] with a bounding box of width 12.82 and height 31.48.
 At frame 339, person 46 is located at coordinates [294.55, 667.32] with a bounding box of width 28.95 and height 67.07.
 At frame 340, person 23 is located at coordinates [953.60, 673.97] with a bounding box of width 94.37 and height 239.04.
 At frame 340, person 38 is located at coordinates [881.86, 708.89] with a bounding box of width 44.88 and height 110.14.
 At frame 340, person 37 is located at coordinates [1210.97, 686.81] with a bounding box of width 39.27 and height 94.92.
 At frame 340, person 39 is located at coordinates [394.12, 711.39] with a bounding box of width 44.54 and height 114.05.
 At frame 340, person 40 is located at coordinates [360.66, 690.52] with a bounding box of width 50.66 and height 138.36.
 At frame 340, person 41 is located at coordinates [679.05, 701.77] with a bounding box of width 13.29 and height 30.08.
 At frame 340, person 42 is located at coordinates [9.53, 655.77] with a bounding box of width 56.89 and height 133.67.
 At frame 340, person 44 is located at coordinates [708.97, 703.56] with a bounding box of width 13.96 and height 34.14.
 At frame 340, person 46 is located at coordinates [293.96, 667.16] with a bounding box of width 27.95 and height 64.70.
 At frame 341, person 23 is located at coordinates [952.77, 673.28] with a bounding box of width 94.62 and height 240.31.
 At frame 341, person 38 is located at coordinates [881.72, 708.41] with a bounding box of width 44.93 and height 110.26.
 At frame 341, person 37 is located at coordinates [1214.00, 686.25] with a bounding box of width 38.09 and height 92.12.
 At frame 341, person 39 is located at coordinates [391.68, 709.92] with a bounding box of width 45.20 and height 116.18.
 At frame 341, person 40 is located at coordinates [360.92, 697.01] with a bounding box of width 48.32 and height 132.32.
 At frame 341, person 41 is located at coordinates [678.54, 701.04] with a bounding box of width 13.46 and height 30.74.
 At frame 341, person 42 is located at coordinates [11.07, 654.12] with a bounding box of width 57.26 and height 135.20.
 At frame 341, person 44 is located at coordinates [708.31, 702.39] with a bounding box of width 14.39 and height 35.09.
 At frame 341, person 46 is located at coordinates [292.02, 667.14] with a bounding box of width 27.19 and height 63.15.
 At frame 341, person 47 is located at coordinates [356.67, 674.38] with a bounding box of width 40.08 and height 91.30.
 At frame 342, person 23 is located at coordinates [952.63, 673.62] with a bounding box of width 94.40 and height 240.77.
 At frame 342, person 38 is located at coordinates [881.87, 707.06] with a bounding box of width 45.39 and height 111.46.
 At frame 342, person 37 is located at coordinates [1215.42, 685.76] with a bounding box of width 37.00 and height 89.26.
 At frame 342, person 39 is located at coordinates [390.54, 710.25] with a bounding box of width 44.84 and height 115.81.
 At frame 342, person 40 is located at coordinates [355.47, 685.79] with a bounding box of width 52.38 and height 143.40.
 At frame 342, person 41 is located at coordinates [678.24, 699.89] with a bounding box of width 13.76 and height 31.57.
 At frame 342, person 42 is located at coordinates [11.51, 652.03] with a bounding box of width 58.29 and height 139.28.
 At frame 342, person 44 is located at coordinates [707.76, 701.09] with a bounding box of width 14.59 and height 35.45.
 At frame 342, person 46 is located at coordinates [290.08, 666.27] with a bounding box of width 28.23 and height 65.54.
 At frame 342, person 47 is located at coordinates [352.91, 673.50] with a bounding box of width 38.64 and height 88.07.
 At frame 343, person 23 is located at coordinates [952.81, 674.36] with a bounding box of width 93.91 and height 240.34.
 At frame 343, person 38 is located at coordinates [882.09, 706.28] with a bounding box of width 45.50 and height 111.90.
 At frame 343, person 37 is located at coordinates [1216.45, 685.59] with a bounding box of width 36.65 and height 88.21.
 At frame 343, person 39 is located at coordinates [388.12, 710.97] with a bounding box of width 44.43 and height 115.07.
 At frame 343, person 40 is located at coordinates [352.20, 683.01] with a bounding box of width 53.34 and height 146.71.
 At frame 343, person 41 is located at coordinates [677.89, 698.89] with a bounding box of width 14.36 and height 33.04.
 At frame 343, person 42 is located at coordinates [10.21, 651.24] with a bounding box of width 57.97 and height 139.65.
 At frame 343, person 44 is located at coordinates [707.35, 699.45] with a bounding box of width 15.67 and height 37.91.
 

=====================================================

At frame 343, person 46 is located at coordinates [288.24, 665.96] with a bounding box of width 27.99 and height 65.24.
 At frame 343, person 47 is located at coordinates [351.16, 676.34] with a bounding box of width 36.94 and height 84.15.
 At frame 344, person 23 is located at coordinates [953.00, 675.24] with a bounding box of width 93.54 and height 240.15.
 At frame 344, person 38 is located at coordinates [881.92, 706.29] with a bounding box of width 45.74 and height 112.64.
 At frame 344, person 37 is located at coordinates [1216.42, 685.24] with a bounding box of width 38.43 and height 92.60.
 At frame 344, person 39 is located at coordinates [385.74, 709.78] with a bounding box of width 44.71 and height 116.54.
 At frame 344, person 40 is located at coordinates [349.41, 681.93] with a bounding box of width 54.29 and height 149.73.
 At frame 344, person 41 is located at coordinates [677.57, 699.37] with a bounding box of width 13.83 and height 31.88.
 At frame 344, person 42 is located at coordinates [10.40, 651.83] with a bounding box of width 56.78 and height 138.02.
 At frame 344, person 44 is located at coordinates [707.00, 699.70] with a bounding box of width 15.35 and height 37.13.
 At frame 344, person 46 is located at coordinates [286.99, 667.34] with a bounding box of width 27.91 and height 65.10.
 At frame 344, person 47 is located at coordinates [349.53, 675.85] with a bounding box of width 38.58 and height 87.87.
 At frame 345, person 23 is located at coordinates [952.78, 676.76] with a bounding box of width 92.85 and height 238.89.
 At frame 345, person 38 is located at coordinates [881.86, 706.60] with a bounding box of width 45.80 and height 112.90.
 At frame 345, person 37 is located at coordinates [1218.14, 684.25] with a bounding box of width 39.07 and height 94.20.
 At frame 345, person 39 is located at coordinates [383.11, 708.46] with a bounding box of width 45.18 and height 117.67.
 At frame 345, person 40 is located at coordinates [346.33, 680.67] with a bounding box of width 55.05 and height 152.03.
 At frame 345, person 41 is located at coordinates [677.21, 698.71] with a bounding box of width 14.13 and height 32.58.
 At frame 345, person 42 is located at coordinates [13.28, 651.19] with a bounding box of width 54.89 and height 135.02.
 At frame 345, person 46 is located at coordinates [285.03, 667.88] with a bounding box of width 27.12 and height 63.27.
 At frame 345, person 47 is located at coordinates [350.17, 674.73] with a bounding box of width 34.03 and height 77.60.
 At frame 346, person 23 is located at coordinates [952.72, 677.64] with a bounding box of width 92.57 and height 238.69.
 At frame 346, person 38 is located at coordinates [881.32, 707.90] with a bounding box of width 45.95 and height 113.57.
 At frame 346, person 37 is located at coordinates [1219.82, 682.42] with a bounding box of width 39.50 and height 95.41.
 At frame 346, person 39 is located at coordinates [380.41, 707.97] with a bounding box of width 45.42 and height 118.09.
 At frame 346, person 40 is located at coordinates [344.76, 679.92] with a bounding box of width 54.81 and height 152.30.
 At frame 346, person 41 is located at coordinates [676.72, 699.34] with a bounding box of width 13.81 and height 31.67.
 At frame 346, person 42 is located at coordinates [15.04, 650.96] with a bounding box of width 53.03 and height 131.50.
 At frame 346, person 46 is located at coordinates [282.97, 667.21] with a bounding box of width 27.78 and height 64.94.
 At frame 346, person 47 is located at coordinates [348.02, 674.61] with a bounding box of width 35.57 and height 81.28.
 At frame 347, person 23 is located at coordinates [953.17, 677.97] with a bounding box of width 92.75 and height 239.78.
 At frame 347, person 38 is located at coordinates [881.46, 708.40] with a bounding box of width 46.18 and height 114.39.
 At frame 347, person 37 is located at coordinates [1220.81, 682.90] with a bounding box of width 41.20 and height 99.35.
 At frame 347, person 39 is located at coordinates [378.72, 707.79] with a bounding box of width 45.51 and height 118.24.
 At frame 347, person 40 is located at coordinates [343.97, 681.69] with a bounding box of width 54.09 and height 151.20.
 At frame 347, person 41 is located at coordinates [676.53, 699.60] with a bounding box of width 13.72 and height 31.31.
 At frame 347, person 42 is located at coordinates [16.82, 651.48] with a bounding box of width 50.02 and height 124.84.
 At frame 347, person 46 is located at coordinates [281.82, 666.68] with a bounding box of width 28.58 and height 66.71.
 At frame 347, person 47 is located at coordinates [345.72, 675.81] with a bounding box of width 37.76 and height 86.09.
 At frame 348, person 23 is located at coordinates [952.77, 677.80] with a bounding box of width 92.81 and height 241.07.
 At frame 348, person 38 is located at coordinates [881.65, 708.31] with a bounding box of width 46.86 and height 116.43.
 At frame 348, person 37 is located at coordinates [1223.15, 683.38] with a bounding box of width 41.30 and height 99.68.
 At frame 348, person 39 is located at coordinates [377.43, 708.32] with a bounding box of width 45.55 and height 118.28.
